,AcresBurned,Active,ArchiveYear,CanonicalUrl,Counties,CountyIds,Extinguished,Latitude,Location,Longitude,Name,Started,country,country_code,postcode
23,1708.0,False,2013,/incidents/2013/6/16/carstens-fire/,Mariposa,22,2013-06-26,37.58202,"Off Carstens Road, east of 140 in the Midpines area.",-119.91071000000001,Carstens Fire,2013-06-16,United States,us,95345
24,1383.0,False,2013,/incidents/2013/8/5/falls-fire/,Riverside,"33,",2013-08-09,33.62236,"Ortega Highway, west of Lake Elsinoire",-117.40288000000001,Falls Fire,2013-08-05,United States,us,
25,1271.0,False,2013,/incidents/2013/5/26/general-fire/,San Diego,37,2013-05-31,33.044579999999996,"Banner Grade area, south of Hwy 78 & east of Hwy 79, southeast of Julian",-116.5209,General Fire,2013-05-26,United States,us,92036
26,1070.0,False,2013,/incidents/2013/8/5/power-fire/,Tuolumne,55,2013-08-14,38.25108,"Near Beardsley Lake, northeast of Sonora",-120.02778,Power Fire,2013-08-05,United States,us,
27,917.0,False,2013,/incidents/2013/12/16/pfeiffer-fire/,Monterey,27,2013-12-20,0.0,Pfeiffer Ridge Road and Highway 1 near Big Sur,0.0,Pfeiffer Fire,2013-12-16,,,
28,794.0,False,2013,/incidents/2013/8/18/shirley-fire/,Kern,15,2013-08-24,35.707,Lower Kern River Canyon area off Highway 178,-118.588,Shirley Fire,2013-08-18,United States,us,
29,712.0,False,2013,/incidents/2013/7/19/rancho-fire/,Kern,15,2013-07-22,34.882,West side of Interstate 5 in Lebec (Kern County),-118.9194,Rancho Fire,2013-07-19,United States,us,93243
30,712.0,False,2013,/incidents/2013/5/17/lake-fire/,Los Angeles,19,2013-05-18,34.49149,I-5 Southbound at Lake Hughes Road,-118.61004399999999,Lake Fire,2013-05-17,United States,us,91384
31,612.0,False,2013,/incidents/2013/7/23/water-fire/,Kern,15,2013-07-25,34.90327,West side of Interstate 5 at Tejon Ranch,-118.93388,Water Fire,2013-07-23,United States,us,
32,572.0,False,2013,/incidents/2013/7/8/kyburz-fire/,El Dorado,9,2013-07-11,38.774,"Off Hwy 50 at 30 Mile Tract, Kyburz",-120.29799999999999,Kyburz Fire,2013-07-08,United States,us,95720
33,534.0,False,2013,/incidents/2013/6/28/mills-fire/,San Bernardino,36,2013-07-01,34.071556,"south of Highway 38 & Bryant Street, northwest of Yucaipa ",-117.048397,Mills Fire,2013-06-28,United States,us,92399
34,513.0,False,2013,/incidents/2013/8/18/plumas-lightning-complex-hough/,Plumas,32,2013-08-25,40.00842,Keddie Ridge/North Arm areas of Indian Valley near Taylorsville,-120.76466599999999,Plumas Lightning Complex (Hough),2013-08-18,United States,us,
35,510.0,False,2013,/incidents/2013/5/4/gorgonio-fire/,Riverside,33,2013-05-05,33.894055,"Highway 243, south of Banning and north of Pine Cove",-116.855019,Gorgonio Fire,2013-05-04,United States,us,92222
36,502.0,False,2013,/incidents/2013/7/3/fox-fire-formally-3-7-fire/,Modoc,25,2013-07-05,41.2415,5 miles northwest of Aiden,-121.035,Fox Fire (formally 3-7 Fire),2013-07-03,United States,us,
37,500.0,False,2013,/incidents/2013/6/1/branch-fire/,San Luis Obispo,40,2013-06-03,35.15832,"west of the Carrizo Plain, Los Padres National Forest",-120.05131000000002,Branch Fire,2013-06-01,United States,us,
38,492.0,False,2013,/incidents/2013/7/1/kirker-fire/,Contra Costa,7,2013-07-01,37.96866,Kirker Pass Road south of Pittsburg,-121.91453,Kirker Fire,2013-07-01,United States,us,94517
39,482.0,False,2013,/incidents/2013/6/16/rolling-fire/,Madera,20,2013-06-18,37.015575,"off Hwy 41 & Road 145, northwest of Friant ",-119.78106000000001,Rolling Fire,2013-06-16,United States,us,93614
40,413.0,False,2013,/incidents/2013/8/20/gobblers-fire/,San Bernardino,36,2013-08-20,34.302,upper end of Lytle Creek,-117.598,Gobblers Fire,2013-08-20,United States,us,92358
41,406.0,False,2013,/incidents/2013/2/24/river-fire/,Inyo,14,2013-02-28,36.602575,"south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",-118.01651000000001,River Fire,2013-02-24,United States,us,
42,376.0,False,2013,/incidents/2013/10/3/putah-fire/,Napa,28,2013-10-04,38.628,off Berryessa Knoxville Rd near Lake Berryessa,-122.289,Putah Fire,2013-10-03,United States,us,
43,354.0,False,2013,/incidents/2013/5/3/tres-pinos-fire/,San Benito,35,2013-05-03,37.160346000000004,"Highway 25 and Horizon Rd, Community of Tres ",-120.937494,Tres Pinos Fire,2013-05-03,United States,us,
44,311.0,False,2013,/incidents/2013/2/28/jurupa-fire/,Riverside,33,2013-03-02,0.0,"Rio Rancho Rd & Calle Hermosa, Jurupa Valley",0.0,Jurupa Fire,2013-02-28,,,
45,305.0,False,2013,/incidents/2013/10/4/summit-fire/,Butte,4,2013-10-05,39.439,off District Center Dr & Fortune Way in Palermo,-121.49700000000001,Summit Fire,2013-10-04,United States,us,95966
46,303.0,False,2013,/incidents/2013/5/30/shelton-fire/,San Joaquin,39,2013-05-30,38.049929999999996,off North Shelton Rd in the Linden Peters area,-120.90325,Shelton Fire,2013-05-30,United States,us,
47,298.0,False,2013,/incidents/2013/6/3/lone-fire/,Butte,4,2013-06-03,39.434183000000004,Palermo Road and Lone Tree Road near Palermo,-121.57680400000001,Lone Fire,2013-06-03,United States,us,95968
48,296.0,False,2013,/incidents/2013/1/22/becks-fire/,Lake,17,2013-01-23,0.0,"North of Highway 29, southeast of Kelseyville",0.0,Becks Fire,2013-01-22,,,
49,274.0,False,2013,/incidents/2013/7/1/concord-fire/,Contra Costa,7,2013-07-01,39.90465,off Concord Ave & Vineyard Parkway in Brentwood,-121.74367,Concord Fire,2013-07-01,United States,us,
50,274.0,False,2013,/incidents/2013/4/30/gold-fire/,Madera,20,2013-05-01,37.116295,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,-119.63500400000001,Gold Fire,2013-04-30,United States,us,
51,268.0,False,2013,/incidents/2013/9/23/madre-fire/,Los Angeles,19,2013-09-28,34.149,San Gabriel Canyon 1/4 mile west of the entrance station,-117.90799999999999,Madre Fire,2013-09-23,United States,us,91702
52,263.0,False,2013,/incidents/2013/9/9/lyon-fire/,San Diego,37,2013-09-12,32.710918,"Four Corners, Lyons Valley Road, east of Lyons Peak",-116.746023,Lyon Fire,2013-09-09,United States,us,91935
53,243.0,False,2013,/incidents/2013/8/8/sharp-fire/,San Bernardino,36,2013-08-13,34.35,Sheep canyon just south of Wrightwood,-117.62,Sharp Fire,2013-08-08,United States,us,92397
54,240.0,False,2013,/incidents/2013/6/8/vasco-fire/,Alameda,1,2013-06-08,37.775057000000004,"off Vasco Road & North Vasco Road, north of Livermore",-121.73721299999998,Vasco Fire,2013-06-08,United States,us,
55,237.0,False,2013,/incidents/2013/6/13/pfe-fire/,Placer,31,2013-06-13,38.729296999999995,"PFE Road and Watt Avenue, West Roseville",-121.38086200000001,PFE Fire,2013-06-13,United States,us,95747
56,226.0,False,2013,/incidents/2013/6/12/daves-fire/,Glenn,11,2013-06-17,0.0,15 miles northwest of Elk Creek off County Road 306,0.0,Daves Fire,2013-06-12,,,
57,217.0,False,2013,/incidents/2013/5/1/306-fire/,Glenn,11,2013-05-05,39.514139,2 miles south of the community of Elk Creek,-122.56086200000001,306 Fire,2013-05-01,United States,us,
58,213.0,False,2013,/incidents/2013/7/17/tassajara-fire/,Monterey,27,2013-07-17,0.0,"Tassajara Hot Springs, near the Zen Center",0.0,Tassajara Fire,2013-07-17,,,
59,200.0,False,2013,/incidents/2013/9/24/sierra-fire/,San Bernardino,36,2013-09-30,34.2,in the Cajon Pass west of I-15 near Glen Helen Road,-117.417,Sierra Fire,2013-09-24,United States,us,92407
60,200.0,False,2013,/incidents/2013/7/4/vina-fire/,Tehama,52,2013-07-04,40.012398,"Tehama-Vina Rd and Sherman Rd, Los Molinos",-122.079871,Vina Fire,2013-07-04,United States,us,96055
61,196.0,False,2013,/incidents/2013/8/19/burney-lightning-series-warner-fire/,Shasta,45,2013-08-23,40.5445,Fall River Mills and McAruther area,-121.3754,Burney Lightning Series (Warner Fire),2013-08-19,United States,us,
62,195.0,False,2013,/incidents/2013/7/19/paskenta-fire/,Tehama,52,2013-07-19,39.961309,West of Corning,-122.33087900000001,Paskenta Fire,2013-07-19,United States,us,96021
63,190.0,False,2013,/incidents/2013/11/21/silverado-fire/,Napa,28,2013-11-23,38.382,Off Silverado Trail in the Soda Canyon area near Napa,-122.311,Silverado Fire,2013-11-21,United States,us,94558
64,170.0,False,2013,/incidents/2013/5/28/olive-fire/,Santa Barbara,42,2013-05-29,34.611824,"Hwy 246 and Meadowvale, East of Solvang ",-120.074655,Olive Fire,2013-05-28,United States,us,93460
65,163.0,False,2013,/incidents/2013/11/4/capay-fire/,Yolo,57,2013-11-04,38.67479,"Off County Road 23 & County Road 81, Southwest of Esparto",-122.08725,Capay Fire,2013-11-04,United States,us,
66,163.0,False,2013,/incidents/2013/7/19/50-fire/,El Dorado,"9,34",2013-07-19,38.63987,South of Hwy 50 at the El Dorado and Sacramento County line,-121.08438000000001,50 Fire,2013-07-19,United States,us,95762
67,163.0,False,2013,/incidents/2013/7/19/50-fire/,Sacramento,"9,34",2013-07-19,38.63987,South of Hwy 50 at the El Dorado and Sacramento County line,-121.08438000000001,50 Fire,2013-07-19,United States,us,95762
68,159.0,False,2013,/incidents/2013/10/4/crane-fire/,Sonoma,49,2013-10-05,38.34599,"near Crane Creek Regional Park off Pressley Rd, east of Rohnert Park ",-122.6503,Crane Fire,2013-10-04,United States,us,
69,158.0,False,2013,/incidents/2013/7/26/lakeville-fire/,Sonoma,49,2013-07-26,38.17693,"Off Lakeville Hwy, 6 miles SE of Petaluma",-122.51253,Lakeville Fire,2013-07-26,United States,us,
70,150.0,False,2013,/incidents/2013/10/4/highland-fire/,Alameda,1,2013-10-04,0.0,"Highland Road, Livermore",0.0,Highland Fire,2013-10-04,,,
71,150.0,False,2013,/incidents/2013/7/16/redlands-fire/,Riverside,33,2013-07-17,33.990128000000006,"Redlands Boulevard and San Timoteo Canyon Road, north of Moreno Valley",-117.164997,Redlands Fire,2013-07-16,United States,us,
72,150.0,False,2013,/incidents/2013/7/12/diablo-fire/,Stanislaus,50,2013-07-13,37.436,"off Diablo Grande Parkway, west of I-5, southwest of Patterson",-121.1955,Diablo Fire,2013-07-12,United States,us,95363
73,150.0,False,2013,/incidents/2013/6/25/george-fire/,Fresno,10,2013-06-25,36.7218,off Bronco Lane in Squaw Valley,-119.2248,George Fire,2013-06-25,United States,us,93675
74,150.0,False,2013,/incidents/2013/5/22/neal-fire/,Butte,4,2013-05-22,0.0,"Neal Road, southwest of Paradise",0.0,Neal Fire,2013-05-22,,,
75,149.0,False,2013,/incidents/2013/5/28/magic-fire/,Los Angeles,19,2013-05-29,34.419284000000005,off Magic Mtn Parkway in Valencia,-118.58688000000001,Magic Fire,2013-05-28,United States,us,91381
76,134.0,False,2013,/incidents/2013/9/8/angora-fire/,Tulare,54,2013-09-24,36.258,Golden Trout Wilderness,-118.459,Angora Fire,2013-09-08,United States,us,
77,125.0,False,2013,/incidents/2013/5/1/yellow-fire/,Sonoma,49,2013-05-03,38.638828000000004,"Hwy 128 & Yellow Jacket Ranch Rd in Knights Valley, northwest of Calistoga",-122.655616,Yellow Fire,2013-05-01,United States,us,
78,124.0,False,2013,/incidents/2013/6/18/california-fire/,Solano,48,2013-06-18,38.08744,"Off Lake Herman Rd, west of Hwy 680 in Benicia",-122.13802,California Fire,2013-06-18,United States,us,94510
79,124.0,False,2013,/incidents/2013/6/4/152-fire/,Merced,24,2013-06-05,37.03776,Hwy 152 in San Luis Creek Reservoir,-121.00693899999999,152 Fire,2013-06-04,United States,us,
80,124.0,False,2013,/incidents/2013/5/25/smiley-fire/,Riverside,33,2013-05-25,33.963591,"Off Smiley Blvd & Vista Suelto Rd, north of Moreno Valley",-117.18793400000001,Smiley Fire,2013-05-25,United States,us,
81,120.0,False,2013,/incidents/2013/11/8/cantwell-fire/,Lake,17,2013-11-10,38.882214000000005,"South of Morgan Valley Rd and East of Hwy 29, Community of Lower Lake",-122.567525,Cantwell Fire,2013-11-08,United States,us,95457
82,116.0,False,2013,/incidents/2013/8/16/union-fire/,El Dorado,9,2013-08-16,38.682378,"off Koki Ln and Pleasant Valley Rd, northwest of Diamond Springs",-120.839075,Union Fire,2013-08-16,United States,us,95619
83,110.0,False,2013,/incidents/2013/8/17/cleghorn-fire/,San Bernardino,36,2013-08-18,34.287,I-15 Cajon Pass south of Cleghorn Road,-117.45100000000001,Cleghorn Fire,2013-08-17,United States,us,
84,108.0,False,2013,/incidents/2013/6/13/clinton-fire/,Fresno,10,2013-06-13,36.772425,"Clinton and Highland, East of Fresno",-119.62838899999998,Clinton Fire,2013-06-13,United States,us,93737
85,105.0,False,2013,/incidents/2013/6/29/freeman-fire/,Monterey,27,2013-06-29,36.1531,"off Hwy 198, 10 miles east of King City",-120.8973,Freeman Fire,2013-06-29,United States,us,
86,100.0,False,2013,/incidents/2013/8/9/bee-fire/,Los Angeles,19,2013-08-11,0.0,San Francisquito Canyon Rd & Stator Ln,0.0,Bee Fire,2013-08-09,,,
87,100.0,False,2013,/incidents/2013/6/2/murphy-fire/,Tuolumne,55,2013-06-02,37.91529,off Lime Kiln Rd,-120.33313000000001,Murphy Fire,2013-06-02,United States,us,
88,100.0,False,2013,/incidents/2013/5/22/border-fire/,San Diego,37,2013-05-23,32.564465000000006,Off Alta Rd in the Otay Mesa area,-116.900368,Border Fire,2013-05-22,United States,us,92179
89,98.0,False,2013,/incidents/2013/9/28/highland-fire/,Mendocino,23,2013-09-29,38.9252,"off Highland Springs Rd, southeast of Kelseyville",-122.96600000000001,Highland Fire,2013-09-28,United States,us,
90,97.0,False,2013,/incidents/2013/9/5/davis-creek-complex/,Modoc,25,2013-09-24,41.73325,"Both sides of Davis Creek near Hwy 395, south of Goose Lake ",-120.375,Davis Creek Complex,2013-09-05,United States,us,96108
91,97.0,False,2013,/incidents/2013/8/24/little-fire/,San Bernardino,36,2013-08-30,33.641999999999996,near Thomas Mountain south of Lake Hemet on the San Jacinto Ranger District.,-116.706,Little Fire,2013-08-24,United States,us,92361
92,97.0,False,2013,/incidents/2013/8/9/coyote-fire/,Lassen,18,2013-08-12,40.88886,"Southeast of Coyote Reservoir, 20 miles southeast of Bieber",-120.95812600000001,Coyote Fire,2013-08-09,United States,us,
93,96.0,False,2013,/incidents/2013/6/12/roadrunner-fire/,Amador,3,2013-06-13,38.27783,"Roadrunner Drive, south of Ione",-120.966016,Roadrunner Fire,2013-06-12,United States,us,95640
94,94.0,False,2013,/incidents/2013/9/24/creek-fire/,San Luis Obispo,40,2013-09-24,35.4393,"off Toro Creek Rd, east of Cayucos",-120.8358,Creek Fire,2013-09-24,United States,us,93442
95,92.0,False,2013,/incidents/2013/8/1/branch-fire/,Butte,4,2013-08-04,39.6612,Near Rocky Peak - North Fork Lake Oroville near Cherokee,-121.50353999999999,Branch Fire,2013-08-01,United States,us,
96,91.0,False,2013,/incidents/2013/5/19/lilly-2-fire/,Madera,20,2013-05-20,37.1927,Off Road 400 & Sandy Beach Dr. in Yosemite Lakes,-119.7917,Lilly 2 Fire,2013-05-19,United States,us,
97,90.0,False,2013,/incidents/2013/5/21/water-fire/,Riverside,33,2013-05-21,33.9582,Off Whitewater Canyon Road in Whitewater,-116.6534,Water Fire,2013-05-21,United States,us,
98,85.0,False,2013,/incidents/2013/7/7/adelaida-fire/,San Luis Obispo,40,2013-07-07,35.62743,"off Adelaida Rd & Vineyard Dr, west of Paso Robles",-120.83417,Adelaida Fire,2013-07-07,United States,us,
99,82.0,False,2013,/incidents/2013/11/22/retek-fire/,Mendocino,23,2013-11-22,39.0442,"Off Hwy 101 at Henry Station Rd, north of Hopland",-123.1478,Retek Fire,2013-11-22,United States,us,
100,80.0,False,2013,/incidents/2013/8/31/centerville-fire/,Butte,4,2013-09-01,39.731878,"Off Centerville Rd in the Butte Creek Canyon in the community of Centerville, west of Magalia ",-121.71393799999998,Centerville Fire,2013-08-31,United States,us,
101,80.0,False,2013,/incidents/2013/4/9/butte-fire/,Fresno,10,2013-04-09,0.0,Butte Ave near Conejo Ave near the community of Helm.,0.0,Butte Fire,2013-04-09,,,
102,75.0,False,2013,/incidents/2013/9/15/tehama-fire/,Tehama,52,2013-09-15,0.0,East of Molinos,0.0,Tehama Fire,2013-09-15,,,
103,75.0,False,2013,/incidents/2013/7/25/silverwood-fire/,San Bernardino,36,2013-07-26,34.316, Hwy 138 west of Hwy 173,-117.352,Silverwood Fire,2013-07-25,United States,us,
104,75.0,False,2013,/incidents/2013/6/12/revis-fire/,Madera,20,2013-06-14,37.169379,Off Revis Road & Yosemite Springs Parkway in Yosemite Lake Parks area in Coarsegold,-119.75636000000002,Revis Fire,2013-06-12,United States,us,93614
105,75.0,False,2013,/incidents/2013/5/13/lytle-fire/,San Bernardino,36,2013-05-15,34.1834,"I-15 at Sierra Ave, near Lytle Creek",-117.4408,Lytle Fire,2013-05-13,United States,us,92336
106,75.0,False,2013,/incidents/2013/4/30/silverado-fire/,Napa,28,2013-05-01,38.441792,"7300 block of Silverado Trail, north of Napa",-122.350844,Silverado Fire,2013-04-30,United States,us,94573
107,73.0,False,2013,/incidents/2013/9/11/liveoak-fire/,San Bernardino,36,2013-09-12,34.003151,"Live Oak Canyon Rd, South of I-10 near cities of Redlands and Yucaipa. ",-117.106075,Liveoak Fire,2013-09-11,United States,us,92373
108,73.0,False,2013,/incidents/2013/7/8/mcganney-fire/,Yuba,58,2013-07-08,39.205999999999996,"off Highway 20 and McGanney Lane, west of Smartsville",-121.31634,McGanney Fire,2013-07-08,United States,us,95977
109,72.0,False,2013,/incidents/2013/5/1/cedar-fire/,Butte,4,2013-05-04,0.0,"Off Cedar Creek Loop Rd, South of Butte Meadows",0.0,Cedar Fire,2013-05-01,,,
110,70.0,False,2013,/incidents/2013/8/16/double-fire/,Lake,17,2013-08-18,39.013682,"Hwy 20 and Mule Skinner Rd., Clear Lake Oaks",-122.49189399999999,Double Fire,2013-08-16,United States,us,95423
111,68.0,False,2013,/incidents/2013/9/7/rail-fire/,Modoc,25,2013-09-05,41.568999999999996,"Rail Mountain, 7 miles NW of Canby",-120.959,Rail Fire,2013-09-07,United States,us,
112,64.0,False,2013,/incidents/2013/11/14/wheeler-fire/,Ventura,56,2013-11-15,34.384,"Wheeler Canyon, north of Santa Paula",-119.13248999999999,Wheeler Fire,2013-11-14,United States,us,
113,60.0,False,2013,/incidents/2013/8/6/tram-fire/,Riverside,33,2013-08-08,38.838,Off of Hwy 111 & Tramway Rd in Palm Springs,-116.61,Tram Fire,2013-08-06,United States,us,
114,60.0,False,2013,/incidents/2013/8/4/relay-fire/,Riverside,33,2013-08-04,33.910270000000004,"near Mt. David, south of Beaumont",-116.99895,Relay Fire,2013-08-04,United States,us,
115,52.0,False,2013,/incidents/2013/8/31/tyler-fire/,Nevada,29,2013-08-31,39.333401,"North San Juan Area, Highway 49 and Tyler Foote Road",-121.107022,Tyler Fire,2013-08-31,United States,us,
116,51.0,False,2013,/incidents/2013/11/8/toro-fire/,San Luis Obispo,40,2013-11-09,35.457978000000004,"Toro Creek Rd. and Hwy 41 West, Morro Bay",-120.75155500000001,Toro Fire,2013-11-08,United States,us,93423
117,50.0,False,2013,/incidents/2013/11/23/bruner-fire/,Lake,17,2013-11-24,39.0448,"Off Bruner Drive & Al Drive, Clearlake Oaks",-122.7656,Bruner Fire,2013-11-23,United States,us,
118,50.0,False,2013,/incidents/2013/8/15/cottonwood-fire/,Siskiyou,47,2013-08-15,41.923322999999996,"Cottonwood Creek Rd., 2 miles north of Hornbrook",-122.57839299999999,Cottonwood Fire,2013-08-15,United States,us,96044
119,50.0,False,2013,/incidents/2013/7/12/uvas-fire/,Santa Clara,43,2013-07-12,37.1438,"Uvas Road and Casa Loma Road, near Calero County Park,  west of Morgan Hill",-121.7804,Uvas Fire,2013-07-12,United States,us,95141
120,50.0,False,2013,/incidents/2013/7/4/grant-fire/,Alameda,1,2013-07-04,37.7393,"off Grant Ln Rd & I-580 in the Altamont Pass, 5 miles west of Tracy",-121.5869,Grant Fire,2013-07-04,United States,us,95391
121,50.0,False,2013,/incidents/2013/5/25/homestead-fire/,San Luis Obispo,40,2013-05-25,35.5123,"Homestead Rd & Hwy 41, northeast of Atascadero ",-120.6368,Homestead Fire,2013-05-25,United States,us,93422
122,46.0,False,2013,/incidents/2013/8/17/bridges-fire/,Calaveras,5,2013-08-19,38.06231,"Parrott's Ferry Road north of the bridge, near Vallecito & New Melones Lake ",-120.45233,Bridges Fire,2013-08-17,United States,us,
123,46.0,False,2013,/incidents/2013/6/17/sierra-fire/,Fresno,10,2013-06-19,37.03087,"Black Mountain Road at Lodge Road near Sierra High School, southeast of Auberry",-119.463757,Sierra Fire,2013-06-17,United States,us,93667
124,45.0,False,2013,/incidents/2013/7/23/pratt-fire/,Mendocino,23,2013-07-23,38.980846,"Hwy 175 & Pratt Ranch Road, East of Hopland ",-123.06767099999999,Pratt Fire,2013-07-23,United States,us,
125,44.0,False,2013,/incidents/2013/12/10/happy-camp-fire/,Ventura,56,2013-12-11,0.0, off Happy Camp Canyon Rd near Moorpark,0.0,Happy Camp Fire,2013-12-10,,,
126,43.0,False,2013,/incidents/2013/7/9/fiddler-fire/,Shasta,45,2013-07-09,40.373000000000005,off Fiddler,-122.7338,Fiddler Fire,2013-07-09,United States,us,
127,42.0,False,2013,/incidents/2013/6/8/viper-fire/,Riverside,33,2013-06-08,33.969359999999995,"off San Timoteo Canyon Rd and Viper Rd, north of Moreno Valley",-117.1265,Viper Fire,2013-06-08,United States,us,
128,41.0,False,2013,/incidents/2013/9/7/chestnut-fire/,San Mateo,41,2013-09-07,37.667295,"Chestnut Ave and Hillside Blvd, San Bruno Mountain, South San Francisco",-122.42728500000001,Chestnut Fire,2013-09-07,United States,us,94080
129,40.0,False,2013,/incidents/2013/12/31/grant-fire/,Santa Clara,43,2013-12-31,37.342186,off Mount Hamilton Road near Grant Ranch County Park,-121.717706,Grant Fire,2013-12-31,United States,us,95137
130,40.0,False,2013,/incidents/2013/10/6/baker-fire/,Orange,30,2013-10-09,33.7655,"Off Baker Canyon Rd, Silverado Canyon area, east of Irvine",-117.6649,Baker Fire,2013-10-06,United States,us,
131,40.0,False,2013,/incidents/2013/9/26/valley-fire/,San Diego,37,2013-09-28,0.0,off I-8 & Los Coches Rd near Lakeside,0.0,Valley Fire,2013-09-26,,,
132,40.0,False,2013,/incidents/2013/8/16/pierce-fire/,Riverside,33,2013-08-16,33.570291,Ave 66 and Pierce Street  ,-116.10815,Pierce Fire,2013-08-16,United States,us,92254
133,40.0,False,2013,/incidents/2013/7/31/trout-fire/,Siskiyou,47,2013-07-31,0.0,"Siskiyou Wildlife Refuge, 5 miles SE of Montague",0.0,Trout Fire,2013-07-31,,,
