Year,Geography,Age,Category,Demographic,Count,Rate
2015,El Dorado,18 and Over,Race-Ethnicity,African-American,14,163.9
2015,Fresno,18 and Over,Race-Ethnicity,African-American,312,87.8
2015,Humboldt,18 and Over,Race-Ethnicity,African-American,36,292.4
2015,Imperial,18 and Over,Race-Ethnicity,African-American,31,60.7
2015,Kern,18 and Over,Race-Ethnicity,African-American,610,161.7
2015,Kings,18 and Over,Race-Ethnicity,African-American,89,83.0
2015,Lake,18 and Over,Race-Ethnicity,African-American,18,214.5
2015,Los Angeles,18 and Over,Race-Ethnicity,African-American,8744,140.5
2015,Madera,18 and Over,Race-Ethnicity,African-American,36,74.7
2015,Marin,18 and Over,Race-Ethnicity,African-American,37,58.8
2015,Merced,18 and Over,Race-Ethnicity,African-American,186,295.6
2015,Monterey,18 and Over,Race-Ethnicity,African-American,91,100.9
2015,Napa,18 and Over,Race-Ethnicity,African-American,14,75.4
2015,Orange,18 and Over,Race-Ethnicity,African-American,398,94.5
2015,Placer,18 and Over,Race-Ethnicity,African-American,22,67.9
2015,Riverside,18 and Over,Race-Ethnicity,African-American,1236,110.3
2015,Sacramento,18 and Over,Race-Ethnicity,African-American,2275,202.8
2015,San Bernardino,18 and Over,Race-Ethnicity,African-American,1767,123.0
2015,San Diego,18 and Over,Race-Ethnicity,African-American,1296,111.7
2015,San Francisco,18 and Over,Race-Ethnicity,African-American,808,218.9
2015,San Joaquin,18 and Over,Race-Ethnicity,African-American,703,174.3
2015,San Luis Obispo,18 and Over,Race-Ethnicity,African-American,33,67.0
2015,San Mateo,18 and Over,Race-Ethnicity,African-American,94,54.1
2015,Santa Barbara,18 and Over,Race-Ethnicity,African-American,87,122.0
2015,Santa Clara,18 and Over,Race-Ethnicity,African-American,499,122.6
2015,Santa Cruz,18 and Over,Race-Ethnicity,African-American,17,73.4
2015,Shasta,18 and Over,Race-Ethnicity,African-American,17,136.2
2015,Solano,18 and Over,Race-Ethnicity,African-American,804,183.8
2015,Sonoma,18 and Over,Race-Ethnicity,African-American,65,97.1
2015,Stanislaus,18 and Over,Race-Ethnicity,African-American,232,216.3
2015,Sutter,18 and Over,Race-Ethnicity,African-American,11,
2015,Tulare,18 and Over,Race-Ethnicity,African-American,42,98.7
2015,Ventura,18 and Over,Race-Ethnicity,African-American,82,79.8
2015,Yolo,18 and Over,Race-Ethnicity,African-American,42,84.7
2015,Yuba,18 and Over,Race-Ethnicity,African-American,18,112.9
2015,Alameda,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,136,419.1
2015,California,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,537,41.5
2015,Humboldt,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,36,74.6
2015,Los Angeles,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,42,26.2
2015,Riverside,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,30,36.9
2015,Sacramento,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,29,44.2
2015,San Bernardino,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,42,54.4
2015,San Diego,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,18,16.0
2015,San Joaquin,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,13,52.7
2015,Shasta,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,20,63.3
2015,Sonoma,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,19,58.7
2015,Tulare,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,14,61.1
2015,Alameda,18 and Over,Race-Ethnicity,Asian/Pacific Islander,617,18.4
2015,Butte,18 and Over,Race-Ethnicity,Asian/Pacific Islander,12,19.8
2015,California,18 and Over,Race-Ethnicity,Asian/Pacific Islander,6454,15.3
2015,Contra Costa,18 and Over,Race-Ethnicity,Asian/Pacific Islander,268,21.6
2015,Fresno,18 and Over,Race-Ethnicity,Asian/Pacific Islander,91,16.0
2015,Kern,18 and Over,Race-Ethnicity,Asian/Pacific Islander,50,17.8
2015,Los Angeles,18 and Over,Race-Ethnicity,Asian/Pacific Islander,1690,14.5
2015,Marin,18 and Over,Race-Ethnicity,Asian/Pacific Islander,19,15.7
2015,Merced,18 and Over,Race-Ethnicity,Asian/Pacific Islander,19,16.9
2015,Monterey,18 and Over,Race-Ethnicity,Asian/Pacific Islander,68,27.8
2015,Napa,18 and Over,Race-Ethnicity,Asian/Pacific Islander,23,28.7
2015,Orange,18 and Over,Race-Ethnicity,Asian/Pacific Islander,526,11.3
2015,Placer,18 and Over,Race-Ethnicity,Asian/Pacific Islander,30,13.8
2015,Riverside,18 and Over,Race-Ethnicity,Asian/Pacific Islander,107,9.2
2015,Sacramento,18 and Over,Race-Ethnicity,Asian/Pacific Islander,509,30.0
2015,San Bernardino,18 and Over,Race-Ethnicity,Asian/Pacific Islander,145,14.3
2015,San Diego,18 and Over,Race-Ethnicity,Asian/Pacific Islander,433,14.7
2015,San Francisco,18 and Over,Race-Ethnicity,Asian/Pacific Islander,319,11.7
2015,San Joaquin,18 and Over,Race-Ethnicity,Asian/Pacific Islander,219,28.9
2015,San Mateo,18 and Over,Race-Ethnicity,Asian/Pacific Islander,265,16.8
2015,Santa Barbara,18 and Over,Race-Ethnicity,Asian/Pacific Islander,22,12.1
2015,Santa Clara,18 and Over,Race-Ethnicity,Asian/Pacific Islander,607,13.5
2015,Shasta,18 and Over,Race-Ethnicity,Asian/Pacific Islander,13,26.5
2015,Solano,18 and Over,Race-Ethnicity,Asian/Pacific Islander,151,27.3
2015,Sonoma,18 and Over,Race-Ethnicity,Asian/Pacific Islander,25,16.2
2015,Stanislaus,18 and Over,Race-Ethnicity,Asian/Pacific Islander,39,17.2
2015,Sutter,18 and Over,Race-Ethnicity,Asian/Pacific Islander,23,19.5
2015,Tulare,18 and Over,Race-Ethnicity,Asian/Pacific Islander,15,12.0
2015,Ventura,18 and Over,Race-Ethnicity,Asian/Pacific Islander,48,10.1
2015,Yolo,18 and Over,Race-Ethnicity,Asian/Pacific Islander,35,22.6
2015,Yuba,18 and Over,Race-Ethnicity,Asian/Pacific Islander,11,
2015,Alameda,18 and Over,Race-Ethnicity,Hispanic,1071,41.4
2015,Amador,18 and Over,Race-Ethnicity,Hispanic,13,36.2
2015,Butte,18 and Over,Race-Ethnicity,Hispanic,64,25.8
2015,Calaveras,18 and Over,Race-Ethnicity,Hispanic,13,25.2
2015,California,18 and Over,Race-Ethnicity,Hispanic,37997,36.8
2015,Colusa,18 and Over,Race-Ethnicity,Hispanic,20,21.1
2015,Contra Costa,18 and Over,Race-Ethnicity,Hispanic,998,54.5
2015,El Dorado,18 and Over,Race-Ethnicity,Hispanic,60,38.0
2015,Fresno,18 and Over,Race-Ethnicity,Hispanic,1746,53.3
2015,Glenn,18 and Over,Race-Ethnicity,Hispanic,18,27.6
2015,Humboldt,18 and Over,Race-Ethnicity,Hispanic,24,22.3
2015,Imperial,18 and Over,Race-Ethnicity,Hispanic,489,45.8
2015,Kern,18 and Over,Race-Ethnicity,Hispanic,1216,40.6
2015,Kings,18 and Over,Race-Ethnicity,Hispanic,241,49.2
2015,Lake,18 and Over,Race-Ethnicity,Hispanic,51,70.4
2015,Los Angeles,18 and Over,Race-Ethnicity,Hispanic,13143,37.4
2015,Madera,18 and Over,Race-Ethnicity,Hispanic,244,43.2
2015,Marin,18 and Over,Race-Ethnicity,Hispanic,55,20.2
2015,Mendocino,18 and Over,Race-Ethnicity,Hispanic,39,25.0
2015,Merced,18 and Over,Race-Ethnicity,Hispanic,602,61.8
2015,Monterey,18 and Over,Race-Ethnicity,Hispanic,623,38.7
2015,Napa,18 and Over,Race-Ethnicity,Hispanic,75,23.1
2015,Orange,18 and Over,Race-Ethnicity,Hispanic,1855,25.2
2015,Placer,18 and Over,Race-Ethnicity,Hispanic,79,20.6
2015,Plumas,18 and Over,Race-Ethnicity,Hispanic,21,181.3
2015,Riverside,18 and Over,Race-Ethnicity,Hispanic,2226,30.2
2015,Sacramento,18 and Over,Race-Ethnicity,Hispanic,1106,49.7
2015,San Benito,18 and Over,Race-Ethnicity,Hispanic,102,42.3
2015,San Bernardino,18 and Over,Race-Ethnicity,Hispanic,2647,36.5
2015,San Diego,18 and Over,Race-Ethnicity,Hispanic,1977,26.1
2015,San Francisco,18 and Over,Race-Ethnicity,Hispanic,350,35.6
2015,San Joaquin,18 and Over,Race-Ethnicity,Hispanic,868,47.6
2015,San Luis Obispo,18 and Over,Race-Ethnicity,Hispanic,95,21.6
2015,San Mateo,18 and Over,Race-Ethnicity,Hispanic,761,54.2
2015,Santa Barbara,18 and Over,Race-Ethnicity,Hispanic,430,30.9
2015,Santa Clara,18 and Over,Race-Ethnicity,Hispanic,1797,50.9
2015,Santa Cruz,18 and Over,Race-Ethnicity,Hispanic,172,30.9
2015,Shasta,18 and Over,Race-Ethnicity,Hispanic,21,18.0
2015,Solano,18 and Over,Race-Ethnicity,Hispanic,349,48.2
2015,Sonoma,18 and Over,Race-Ethnicity,Hispanic,216,26.6
2015,Stanislaus,18 and Over,Race-Ethnicity,Hispanic,676,44.7
2015,Sutter,18 and Over,Race-Ethnicity,Hispanic,48,23.2
2015,Tehama,18 and Over,Race-Ethnicity,Hispanic,37,42.8
2015,Tulare,18 and Over,Race-Ethnicity,Hispanic,451,25.1
2015,Ventura,18 and Over,Race-Ethnicity,Hispanic,651,26.9
2015,Yolo,18 and Over,Race-Ethnicity,Hispanic,176,40.9
2015,Yuba,18 and Over,Race-Ethnicity,Hispanic,21,19.9
2015,Alameda,18 and Over,Race-Ethnicity,White,1259,30.3
2015,Amador,18 and Over,Race-Ethnicity,White,128,54.8
2015,Butte,18 and Over,Race-Ethnicity,White,565,46.0
2015,Calaveras,18 and Over,Race-Ethnicity,White,122,46.2
2015,California,18 and Over,Race-Ethnicity,White,41407,34.9
2015,Colusa,18 and Over,Race-Ethnicity,White,23,40.9
2015,Contra Costa,18 and Over,Race-Ethnicity,White,1497,37.5
2015,Del Norte,18 and Over,Race-Ethnicity,White,78,61.4
2015,El Dorado,18 and Over,Race-Ethnicity,White,241,23.7
2015,Fresno,18 and Over,Race-Ethnicity,White,1220,53.1
2015,Glenn,18 and Over,Race-Ethnicity,White,57,54.0
2015,Humboldt,18 and Over,Race-Ethnicity,White,535,66.3
2015,Imperial,18 and Over,Race-Ethnicity,White,116,56.6
2015,Inyo,18 and Over,Race-Ethnicity,White,43,49.6
2015,Kern,18 and Over,Race-Ethnicity,White,1317,50.8
2015,Kings,18 and Over,Race-Ethnicity,White,280,66.8
2015,Lake,18 and Over,Race-Ethnicity,White,271,77.3
2015,Lassen,18 and Over,Race-Ethnicity,White,102,56.7
2015,Los Angeles,18 and Over,Race-Ethnicity,White,6748,30.7
2015,Madera,18 and Over,Race-Ethnicity,White,141,29.6
2015,Marin,18 and Over,Race-Ethnicity,White,252,17.6
2015,Mariposa,18 and Over,Race-Ethnicity,White,62,57.7
2015,Mendocino,18 and Over,Race-Ethnicity,White,280,67.8
2015,Merced,18 and Over,Race-Ethnicity,White,479,72.0
2015,Modoc,18 and Over,Race-Ethnicity,White,29,63.5
2015,Mono,18 and Over,Race-Ethnicity,White,21,32.9
2015,Monterey,18 and Over,Race-Ethnicity,White,373,41.2
2015,Napa,18 and Over,Race-Ethnicity,White,253,41.3
2015,Nevada,18 and Over,Race-Ethnicity,White,257,48.0
2015,Orange,18 and Over,Race-Ethnicity,White,2957,27.9
2015,Placer,18 and Over,Race-Ethnicity,White,620,30.2
2015,Plumas,18 and Over,Race-Ethnicity,White,48,35.6
2015,Riverside,18 and Over,Race-Ethnicity,White,2355,34.6
2015,Sacramento,18 and Over,Race-Ethnicity,White,2512,46.4
2015,San Benito,18 and Over,Race-Ethnicity,White,63,46.3
2015,San Bernardino,18 and Over,Race-Ethnicity,White,2599,48.7
2015,San Diego,18 and Over,Race-Ethnicity,White,2785,22.7
2015,San Francisco,18 and Over,Race-Ethnicity,White,660,23.4
2015,San Joaquin,18 and Over,Race-Ethnicity,White,1005,52.7
2015,San Luis Obispo,18 and Over,Race-Ethnicity,White,472,34.4
2015,San Mateo,18 and Over,Race-Ethnicity,White,607,25.5
2015,Santa Barbara,18 and Over,Race-Ethnicity,White,491,30.9
2015,Santa Clara,18 and Over,Race-Ethnicity,White,1418,28.9
2015,Santa Cruz,18 and Over,Race-Ethnicity,White,365,31.1
2015,Shasta,18 and Over,Race-Ethnicity,White,631,60.3
2015,Siskiyou,18 and Over,Race-Ethnicity,White,106,49.0
2015,Solano,18 and Over,Race-Ethnicity,White,834,62.2
2015,Sonoma,18 and Over,Race-Ethnicity,White,965,36.7
2015,Stanislaus,18 and Over,Race-Ethnicity,White,978,51.3
2015,Sutter,18 and Over,Race-Ethnicity,White,122,31.5
2015,Tehama,18 and Over,Race-Ethnicity,White,148,45.8
2015,Trinity,18 and Over,Race-Ethnicity,White,55,84.9
2015,Tulare,18 and Over,Race-Ethnicity,White,358,32.3
2015,Tuolumne,18 and Over,Race-Ethnicity,White,182,58.3
2015,Ventura,18 and Over,Race-Ethnicity,White,826,26.3
2015,Yolo,18 and Over,Race-Ethnicity,White,282,34.0
2015,Yuba,18 and Over,Race-Ethnicity,White,153,45.8
2015,Alameda,18 and Over,Sex,Female,3828,60.5
2015,Amador,18 and Over,Sex,Female,113,79.4
2015,Butte,18 and Over,Sex,Female,439,52.6
2015,Calaveras,18 and Over,Sex,Female,96,59.4
2015,California,18 and Over,Sex,Female,73315,49.2
2015,Colusa,18 and Over,Sex,Female,27,32.7
2015,Contra Costa,18 and Over,Sex,Female,2852,66.4
2015,Del Norte,18 and Over,Sex,Female,69,82.4
2015,El Dorado,18 and Over,Sex,Female,283,43.8
2015,Fresno,18 and Over,Sex,Female,2251,64.6
2015,Glenn,18 and Over,Sex,Female,51,49.9
2015,Humboldt,18 and Over,Sex,Female,397,78.7
2015,Imperial,18 and Over,Sex,Female,397,58.5
2015,Inyo,18 and Over,Sex,Female,36,54.9
2015,Kern,18 and Over,Sex,Female,2083,66.9
2015,Kings,18 and Over,Sex,Female,424,90.2
2015,Lake,18 and Over,Sex,Female,239,104.0
2015,Lassen,18 and Over,Sex,Female,72,82.5
2015,Los Angeles,18 and Over,Sex,Female,19745,49.8
2015,Madera,18 and Over,Sex,Female,292,47.2
2015,Marin,18 and Over,Sex,Female,221,20.9
2015,Mariposa,18 and Over,Sex,Female,46,72.2
2015,Mendocino,18 and Over,Sex,Female,208,64.2
2015,Merced,18 and Over,Sex,Female,838,89.6
2015,Modoc,18 and Over,Sex,Female,27,92.6
2015,Mono,18 and Over,Sex,Female,15,28.1
2015,Monterey,18 and Over,Sex,Female,793,51.3
2015,Napa,18 and Over,Sex,Female,254,45.9
2015,Nevada,18 and Over,Sex,Female,198,59.3
2015,Orange,18 and Over,Sex,Female,3668,29.6
2015,Placer,18 and Over,Sex,Female,520,35.7
2015,Plumas,18 and Over,Sex,Female,45,67.8
2015,Riverside,18 and Over,Sex,Female,3889,44.6
2015,Sacramento,18 and Over,Sex,Female,4216,75.1
2015,San Benito,18 and Over,Sex,Female,104,48.4
2015,San Bernardino,18 and Over,Sex,Female,4884,62.0
2015,San Diego,18 and Over,Sex,Female,4469,36.0
2015,San Francisco,18 and Over,Sex,Female,1307,39.0
2015,San Joaquin,18 and Over,Sex,Female,1798,68.7
2015,San Luis Obispo,18 and Over,Sex,Female,398,42.0
2015,San Mateo,18 and Over,Sex,Female,1088,35.6
2015,Santa Barbara,18 and Over,Sex,Female,654,38.7
2015,Santa Clara,18 and Over,Sex,Female,2730,37.8
2015,Santa Cruz,18 and Over,Sex,Female,287,27.9
2015,Shasta,18 and Over,Sex,Female,454,66.7
2015,Siskiyou,18 and Over,Sex,Female,71,51.6
2015,Solano,18 and Over,Sex,Female,1474,91.2
2015,Sonoma,18 and Over,Sex,Female,851,43.1
2015,Stanislaus,18 and Over,Sex,Female,1302,65.1
2015,Sutter,18 and Over,Sex,Female,136,36.4
2015,Tehama,18 and Over,Sex,Female,122,49.3
2015,Trinity,18 and Over,Sex,Female,26,51.2
2015,Tulare,18 and Over,Sex,Female,816,51.0
2015,Tuolumne,18 and Over,Sex,Female,136,75.7
2015,Ventura,18 and Over,Sex,Female,1057,32.2
2015,Yolo,18 and Over,Sex,Female,349,44.2
2015,Yuba,18 and Over,Sex,Female,126,46.0
2015,Alameda,18 and Over,Sex,Male,2685,45.2
2015,Amador,18 and Over,Sex,Male,38,26.3
2015,Butte,18 and Over,Sex,Male,297,34.9
2015,Calaveras,18 and Over,Sex,Male,43,26.8
2015,California,18 and Over,Sex,Male,44533,30.5
2015,Colusa,18 and Over,Sex,Male,22,25.6
2015,Contra Costa,18 and Over,Sex,Male,1675,42.3
2015,Del Norte,18 and Over,Sex,Male,22,17.7
2015,El Dorado,18 and Over,Sex,Male,139,21.8
2015,Fresno,18 and Over,Sex,Male,1203,34.5
2015,Glenn,18 and Over,Sex,Male,32,29.3
2015,Humboldt,18 and Over,Sex,Male,285,52.3
2015,Imperial,18 and Over,Sex,Male,254,35.9
2015,Inyo,18 and Over,Sex,Male,19,26.1
2015,Kern,18 and Over,Sex,Male,1210,34.9
2015,Kings,18 and Over,Sex,Male,211,32.3
2015,Lake,18 and Over,Sex,Male,124,50.3
2015,Lassen,18 and Over,Sex,Male,43,22.0
2015,Los Angeles,18 and Over,Sex,Male,11939,31.4
2015,Madera,18 and Over,Sex,Male,153,27.1
2015,Marin,18 and Over,Sex,Male,153,15.8
2015,Mariposa,18 and Over,Sex,Male,23,30.1
2015,Mendocino,18 and Over,Sex,Male,141,42.9
2015,Merced,18 and Over,Sex,Male,477,49.5
2015,Mono,18 and Over,Sex,Male,12,21.0
2015,Monterey,18 and Over,Sex,Male,431,26.3
2015,Napa,18 and Over,Sex,Male,128,23.6
2015,Nevada,18 and Over,Sex,Male,74,23.0
2015,Orange,18 and Over,Sex,Male,2328,19.9
2015,Placer,18 and Over,Sex,Male,268,19.5
2015,Plumas,18 and Over,Sex,Male,33,38.0
2015,Riverside,18 and Over,Sex,Male,2304,26.5
2015,Sacramento,18 and Over,Sex,Male,2608,47.7
2015,San Benito,18 and Over,Sex,Male,66,32.8
2015,San Bernardino,18 and Over,Sex,Male,2858,36.4
2015,San Diego,18 and Over,Sex,Male,2560,20.4
2015,San Francisco,18 and Over,Sex,Male,984,27.7
2015,San Joaquin,18 and Over,Sex,Male,1136,43.4
2015,San Luis Obispo,18 and Over,Sex,Male,231,21.4
2015,San Mateo,18 and Over,Sex,Male,781,27.8
2015,Santa Barbara,18 and Over,Sex,Male,391,22.8
2015,Santa Clara,18 and Over,Sex,Male,1815,26.0
2015,Santa Cruz,18 and Over,Sex,Male,280,28.5
2015,Shasta,18 and Over,Sex,Male,261,41.7
2015,Sierra,18 and Over,Sex,Male,62,40.3
2015,Siskiyou,18 and Over,Sex,Male,800,50.3
2015,Solano,18 and Over,Sex,Male,499,25.5
2015,Sonoma,18 and Over,Sex,Male,743,38.0
2015,Stanislaus,18 and Over,Sex,Male,80,22.5
2015,Sutter,18 and Over,Sex,Male,73,33.1
2015,Tehama,18 and Over,Sex,Male,34,83.9
2015,Tulare,18 and Over,Sex,Male,462,28.0
2015,Tuolumne,18 and Over,Sex,Male,67,30.5
2015,Ventura,18 and Over,Sex,Male,605,19.1
2015,Yolo,18 and Over,Sex,Male,212,27.3
2015,Yuba,18 and Over,Sex,Male,89,33.5
2015,Alameda,All Ages,Total Population,All Ages,9939,64.3
2015,Amador,All Ages,Total Population,All Ages,196,58.4
2015,Butte,All Ages,Total Population,All Ages,1044,50.2
2015,Calaveras,All Ages,Total Population,All Ages,185,48.0
2015,California,All Ages,Total Population,All Ages,191904,50.4
2015,Colusa,All Ages,Total Population,All Ages,97,41.4
2015,Contra Costa,All Ages,Total Population,All Ages,6858,65.2
2015,Del Norte,All Ages,Total Population,All Ages,140,53.0
2015,El Dorado,All Ages,Total Population,All Ages,592,36.4
2015,Fresno,All Ages,Total Population,All Ages,7936,77.0
2015,Glenn,All Ages,Total Population,All Ages,122,42.6
2015,Humboldt,All Ages,Total Population,All Ages,835,63.4
2015,Imperial,All Ages,Total Population,All Ages,1388,71.2
2015,Inyo,All Ages,Total Population,All Ages,88,53.5
2015,Kern,All Ages,Total Population,All Ages,5859,62.3
2015,Kings,All Ages,Total Population,All Ages,1250,78.6
2015,Lake,All Ages,Total Population,All Ages,478,80.4
2015,Lassen,All Ages,Total Population,All Ages,148,45.3
2015,Los Angeles,All Ages,Total Population,All Ages,52227,53.1
2015,Madera,All Ages,Total Population,All Ages,1031,62.3
2015,Marin,All Ages,Total Population,All Ages,541,22.2
2015,Mariposa,All Ages,Total Population,All Ages,79,47.4
2015,Mendocino,All Ages,Total Population,All Ages,479,57.4
2015,Merced,All Ages,Total Population,All Ages,2425,87.4
2015,Modoc,All Ages,Total Population,All Ages,53,67.9
2015,Mono,All Ages,Total Population,All Ages,43,32.0
2015,Monterey,All Ages,Total Population,All Ages,2194,50.2
2015,Napa,All Ages,Total Population,All Ages,572,41.9
2015,Nevada,All Ages,Total Population,All Ages,351,42.8
2015,Orange,All Ages,Total Population,All Ages,10275,33.9
2015,Placer,All Ages,Total Population,All Ages,1125,31.4
2015,Plumas,All Ages,Total Population,All Ages,99,56.3
2015,Riverside,All Ages,Total Population,All Ages,10111,43.2
2015,Sacramento,All Ages,Total Population,All Ages,10109,69.2
2015,San Benito,All Ages,Total Population,All Ages,285,50.1
2015,San Bernardino,All Ages,Total Population,All Ages,12761,59.3
2015,San Diego,All Ages,Total Population,All Ages,11646,37.0
2015,San Francisco,All Ages,Total Population,All Ages,3141,41.3
2015,San Joaquin,All Ages,Total Population,All Ages,4802,66.2
2015,San Luis Obispo,All Ages,Total Population,All Ages,950,40.1
2015,San Mateo,All Ages,Total Population,All Ages,2695,36.4
2015,Santa Barbara,All Ages,Total Population,All Ages,1734,40.7
2015,Santa Clara,All Ages,Total Population,All Ages,6521,35.1
2015,Santa Cruz,All Ages,Total Population,All Ages,910,36.5
2015,Shasta,All Ages,Total Population,All Ages,1015,60.5
2015,Sierra,All Ages,Total Population,All Ages,9,
2015,Siskiyou,All Ages,Total Population,All Ages,176,47.0
2015,Solano,All Ages,Total Population,All Ages,3415,83.2
2015,Sonoma,All Ages,Total Population,All Ages,1936,40.2
2015,Stanislaus,All Ages,Total Population,All Ages,3281,60.7
2015,Sutter,All Ages,Total Population,All Ages,337,34.1
2015,Tehama,All Ages,Total Population,All Ages,323,52.7
2015,Trinity,All Ages,Total Population,All Ages,67,60.5
2015,Tulare,All Ages,Total Population,All Ages,2542,51.3
2015,Tuolumne,All Ages,Total Population,All Ages,257,53.1
2015,Ventura,All Ages,Total Population,All Ages,2933,35.3
2015,Yolo,All Ages,Total Population,All Ages,852,44.1
2015,Yuba,All Ages,Total Population,All Ages,346,45.4
2015,Alameda,All Ages,Race-Ethnicity,American Indian/Alaskan Native,185,469.6
2015,California,All Ages,Race-Ethnicity,American Indian/Alaskan Native,765,47.0
2015,Contra Costa,All Ages,Race-Ethnicity,American Indian/Alaskan Native,13,50.9
2015,Fresno,All Ages,Race-Ethnicity,American Indian/Alaskan Native,11,
2015,Humboldt,All Ages,Race-Ethnicity,American Indian/Alaskan Native,49,70.4
2015,Inyo,All Ages,Race-Ethnicity,American Indian/Alaskan Native,12,71.6
2015,Los Angeles,All Ages,Race-Ethnicity,American Indian/Alaskan Native,51,26.1
2015,Mendocino,All Ages,Race-Ethnicity,American Indian/Alaskan Native,19,56.8
2015,Orange,All Ages,Race-Ethnicity,American Indian/Alaskan Native,13,23.7
2015,Riverside,All Ages,Race-Ethnicity,American Indian/Alaskan Native,44,40.2
2015,Sacramento,All Ages,Race-Ethnicity,American Indian/Alaskan Native,43,55.3
2015,San Bernardino,All Ages,Race-Ethnicity,American Indian/Alaskan Native,69,82.7
